flex1,flex2,flex3,flex4,flex5,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,label
35.0,0.0,13.0,2511.0,41.0,10972.0,6240.0,11180.0,-1004.0,110.0,2187.0,hi
48.0,0.0,32.0,2500.0,48.0,10928.0,2524.0,12220.0,-1929.0,1556.0,4621.0,hi
0.0,0.0,32.0,2497.0,51.0,10548.0,80.0,13028.0,-2270.0,706.0,2955.0,hi
0.0,0.0,34.0,2509.0,46.0,10452.0,-1320.0,13376.0,-158.0,-667.0,-1572.0,hi
0.0,0.0,12.0,2510.0,32.0,10676.0,1896.0,12300.0,1167.0,-1863.0,-4904.0,hi
0.0,0.0,13.0,2490.0,48.0,11044.0,4760.0,11376.0,27.0,-1604.0,-3490.0,hi
9.0,0.0,19.0,2507.0,49.0,11040.0,6704.0,10992.0,-900.0,416.0,1623.0,hi
57.0,0.0,15.0,2495.0,38.0,11032.0,3432.0,11444.0,-2832.0,1565.0,5156.0,hi
81.0,6.0,240.0,2496.0,203.0,12900.0,1740.0,10968.0,-212.0,-336.0,-28.0,i
102.0,10.0,227.0,2512.0,214.0,12648.0,868.0,11212.0,-415.0,-546.0,-16.0,i
139.0,0.0,211.0,2512.0,211.0,12736.0,1216.0,10964.0,-484.0,-609.0,62.0,i
170.0,15.0,214.0,2517.0,213.0,12820.0,1120.0,10832.0,-660.0,-223.0,169.0,i
155.0,0.0,227.0,2493.0,230.0,12420.0,1100.0,11016.0,-1191.0,-166.0,53.0,i
142.0,0.0,205.0,2509.0,198.0,12736.0,1452.0,10704.0,-925.0,-412.0,96.0,i
86.0,8.0,224.0,2495.0,213.0,12816.0,1212.0,10928.0,-936.0,-345.0,-14.0,i
115.0,0.0,217.0,2496.0,208.0,12864.0,1272.0,10816.0,-865.0,-579.0,-52.0,i
128.0,4.0,227.0,2513.0,208.0,12884.0,1416.0,10640.0,-683.0,-423.0,30.0,i
176.0,0.0,254.0,2507.0,228.0,12724.0,1204.0,10892.0,-482.0,-516.0,-93.0,i
142.0,15.0,240.0,2497.0,198.0,12776.0,1400.0,10584.0,-682.0,-517.0,-4.0,i
109.0,0.0,243.0,2506.0,217.0,12756.0,1328.0,10872.0,-1325.0,-119.0,-138.0,i
79.0,12.0,263.0,2495.0,224.0,12912.0,1272.0,10644.0,-246.0,-340.0,238.0,i
101.0,0.0,208.0,2518.0,176.0,12768.0,1712.0,10856.0,-669.0,-762.0,-230.0,i
121.0,0.0,176.0,2500.0,135.0,12868.0,1688.0,10688.0,-1222.0,-110.0,-4.0,i
155.0,0.0,218.0,2506.0,128.0,12760.0,1848.0,10308.0,-1644.0,-221.0,68.0,i
144.0,4.0,242.0,2512.0,162.0,12800.0,1636.0,10480.0,-764.0,-517.0,-296.0,i
140.0,1.0,247.0,2507.0,204.0,12924.0,1872.0,10412.0,-978.0,-154.0,294.0,i
118.0,1.0,243.0,2513.0,171.0,13232.0,2168.0,10140.0,-851.0,-335.0,204.0,i
126.0,11.0,247.0,2515.0,186.0,13176.0,1720.0,10212.0,-689.0,-554.0,-287.0,i
137.0,0.0,257.0,2521.0,163.0,12676.0,2052.0,10416.0,-931.0,-170.0,415.0,i
153.0,19.0,240.0,2519.0,176.0,12980.0,1732.0,10580.0,-1062.0,-309.0,-104.0,i
195.0,11.0,240.0,2515.0,166.0,13096.0,1548.0,10304.0,-839.0,-311.0,10.0,i
173.0,1.0,256.0,2497.0,202.0,13100.0,1848.0,10624.0,-544.0,-563.0,158.0,i
121.0,0.0,253.0,2514.0,192.0,13004.0,1924.0,10544.0,-681.0,-354.0,-15.0,i
110.0,14.0,246.0,2494.0,183.0,13168.0,1596.0,10144.0,-805.0,-121.0,221.0,i
155.0,6.0,243.0,2511.0,190.0,13136.0,1812.0,10400.0,-898.0,-372.0,-86.0,i
176.0,3.0,271.0,2512.0,177.0,12916.0,1444.0,10264.0,-995.0,-217.0,-67.0,i
207.0,0.0,248.0,2511.0,194.0,13224.0,2068.0,10464.0,-551.0,-466.0,-62.0,i
181.0,0.0,252.0,2512.0,176.0,13084.0,2080.0,10352.0,-717.0,-547.0,-94.0,i
